id,title,link,published,published_parsed,unparsed,published_datetime
114341,Hosszabb menetidő az újszászi vonalon,https://www.mavcsoport.hu/node/114341,"Wed, 30 Nov 2022 11:29:15 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=10, tm_min=29, tm_sec=15, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Hosszabb menetidő az újszászi vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Hosszabb menetidő az újszászi vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114341'}], 'link': 'https://www.mavcsoport.hu/node/114341', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 11:29:15 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=10, tm_min=29, tm_sec=15, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114341', 'guidislink': False}",2022-11-30 10:29:15
114341,Hosszabb menetidő az újszászi vonalon,https://www.mavcsoport.hu/node/114341,"Wed, 30 Nov 2022 11:29:15 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=10, tm_min=29, tm_sec=15, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Hosszabb menetidő az újszászi vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Hosszabb menetidő az újszászi vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114341'}], 'link': 'https://www.mavcsoport.hu/node/114341', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 11:29:15 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=10, tm_min=29, tm_sec=15, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114341', 'guidislink': False}",2022-11-30 10:29:15
114339,Kimarad két S40-es vonat,https://www.mavcsoport.hu/node/114339,"Wed, 30 Nov 2022 11:24:42 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=10, tm_min=24, tm_sec=42, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Kimarad két S40-es vonat', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Kimarad két S40-es vonat'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114339'}], 'link': 'https://www.mavcsoport.hu/node/114339', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 11:24:42 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=10, tm_min=24, tm_sec=42, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114339', 'guidislink': False}",2022-11-30 10:24:42
114327,Helyreáll a menetrend a hatvani és szolnoki vonalon,https://www.mavcsoport.hu/node/114327,"Wed, 30 Nov 2022 10:43:55 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=9, tm_min=43, tm_sec=55, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Helyreáll a menetrend a hatvani és szolnoki vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Helyreáll a menetrend a hatvani és szolnoki vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114327'}], 'link': 'https://www.mavcsoport.hu/node/114327', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 10:43:55 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=9, tm_min=43, tm_sec=55, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114327', 'guidislink': False}",2022-11-30 09:43:55
114325,Helyreáll a menetrend a váci és veresegyházi vonalon,https://www.mavcsoport.hu/node/114325,"Wed, 30 Nov 2022 10:31:14 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=9, tm_min=31, tm_sec=14, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Helyreáll a menetrend a váci és veresegyházi vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Helyreáll a menetrend a váci és veresegyházi vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114325'}], 'link': 'https://www.mavcsoport.hu/node/114325', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 10:31:14 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=9, tm_min=31, tm_sec=14, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114325', 'guidislink': False}",2022-11-30 09:31:14
114325,Helyreáll a menetrend a váci és veresegyházi vonalon,https://www.mavcsoport.hu/node/114325,"Wed, 30 Nov 2022 10:17:59 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=9, tm_min=17, tm_sec=59, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Helyreáll a menetrend a váci és veresegyházi vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Helyreáll a menetrend a váci és veresegyházi vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114325'}], 'link': 'https://www.mavcsoport.hu/node/114325', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 10:17:59 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=9, tm_min=17, tm_sec=59, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114325', 'guidislink': False}",2022-11-30 09:17:59
114325,Helyreáll a menetrend a váci és veresegyházi vonalon,https://www.mavcsoport.hu/node/114325,"Wed, 30 Nov 2022 09:53:18 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=8, tm_min=53, tm_sec=18, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Helyreáll a menetrend a váci és veresegyházi vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Helyreáll a menetrend a váci és veresegyházi vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114325'}], 'link': 'https://www.mavcsoport.hu/node/114325', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 09:53:18 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=8, tm_min=53, tm_sec=18, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114325', 'guidislink': False}",2022-11-30 08:53:18
114327,Helyreáll a menetrend a hatvani és szolnoki vonalon,https://www.mavcsoport.hu/node/114327,"Wed, 30 Nov 2022 09:26:45 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=8, tm_min=26, tm_sec=45, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Helyreáll a menetrend a hatvani és szolnoki vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Helyreáll a menetrend a hatvani és szolnoki vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114327'}], 'link': 'https://www.mavcsoport.hu/node/114327', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 09:26:45 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=8, tm_min=26, tm_sec=45, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114327', 'guidislink': False}",2022-11-30 08:26:45
114327,Hosszabb menetidő a Budapest-Újszász-Szolnok-Békéscsaba vonalon,https://www.mavcsoport.hu/node/114327,"Wed, 30 Nov 2022 08:08:46 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=7, tm_min=8, tm_sec=46, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Hosszabb menetidő a Budapest-Újszász-Szolnok-Békéscsaba vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Hosszabb menetidő a Budapest-Újszász-Szolnok-Békéscsaba vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114327'}], 'link': 'https://www.mavcsoport.hu/node/114327', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 08:08:46 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=7, tm_min=8, tm_sec=46, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114327', 'guidislink': False}",2022-11-30 07:08:46
114327,Hosszabb menetidő a Budapest-Újszász-Szolnok-Békéscsaba vonalon,https://www.mavcsoport.hu/node/114327,"Wed, 30 Nov 2022 07:39:27 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=6, tm_min=39, tm_sec=27, tm_wday=2, tm_yday=334, tm_isdst=0)","{'title': 'Hosszabb menetidő a Budapest-Újszász-Szolnok-Békéscsaba vonalon', 'title_detail': {'type': 'text/plain', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': 'Hosszabb menetidő a Budapest-Újszász-Szolnok-Békéscsaba vonalon'}, 'links': [{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.mavcsoport.hu/node/114327'}], 'link': 'https://www.mavcsoport.hu/node/114327', 'summary': '', 'summary_detail': {'type': 'text/html', 'language': 'hu', 'base': 'https://www.mavcsoport.hu/mav-csoport/hirek', 'value': ''}, 'published': 'Wed, 30 Nov 2022 07:39:27 +0100', 'published_parsed': time.struct_time(tm_year=2022, tm_mon=11, tm_mday=30, tm_hour=6, tm_min=39, tm_sec=27, tm_wday=2, tm_yday=334, tm_isdst=0), 'authors': [{'name': 'MÁV.hu szerkesztőség'}], 'author': 'MÁV.hu szerkesztőség', 'author_detail': {'name': 'MÁV.hu szerkesztőség'}, 'id': '114327', 'guidislink': False}",2022-11-30 06:39:27
